"age","ageGroupPop","ageGroupPopShare"
"1-4",126027192,0.048282327839025904
"15-24",341256218,0.13073880591247397
"25-34",364415203,0.13961125390123091
"35-44",330553548,0.12663850173611094
"45-54",329202283,0.1261208180625161
"5-14",326655707,0.12514519831452556
"55-64",336927584,0.12908046121267971
"65-74",247585990,0.0948527674688633
"75-84",124694304,0.047771684585237444
"85+",52434623,0.020088249350201568
"<1",30461015,0.011669931617134545
