sex,raceEthnicity,foreign,period,majorCauses,age,pop,deaths,ASDR
Female,Black,Foreign-Born,2017-2019,Total,85+,99736.6635255126,8801,8824.237435763738
Female,Black,Foreign-Born,2020,Total,25-34,387625.96999549534,247,63.721220743509626
Female,Black,Foreign-Born,2020,Total,35-44,473943.58389946754,633,133.56020030735795
Female,Black,Foreign-Born,2020,Total,45-54,410813.4558929141,1207,293.8073187930403
Female,Black,Foreign-Born,2020,Total,55-64,351304.5891439477,2514,715.6183203088998
Female,Black,Foreign-Born,2020,Total,65-74,204682.4557859862,3407,1664.5295694333092
Female,Black,Foreign-Born,2020,Total,75-84,90723.68581229086,3895,4293.255906796858
Female,Black,Foreign-Born,2020,Total,85+,38461.25757409693,4589,11931.48713652728
Female,Black,US-Born,2017-2019,Total,25-34,8898729.750864036,10452,117.45496596281222
Female,Black,US-Born,2017-2019,Total,35-44,7212557.363200558,17223,238.79186164777101
Female,Black,US-Born,2017-2019,Total,45-54,7188720.275835186,35680,496.33312510347605
Female,Black,US-Born,2017-2019,Total,55-64,7090065.991123223,76041,1072.5005958365336
Female,Black,US-Born,2017-2019,Total,65-74,4606051.4981220225,92626,2010.9631869675238
Female,Black,US-Born,2017-2019,Total,75-84,2193563.0080088736,97619,4450.248278421237
Female,Black,US-Born,2017-2019,Total,85+,960159.3364744873,113538,11824.912354327436
Female,Black,US-Born,2020,Total,25-34,3071864.0300045046,4794,156.06159495259203
Female,Black,US-Born,2020,Total,35-44,2443416.4161005323,7575,310.01674336333565
Female,Black,US-Born,2020,Total,45-54,2335008.544107086,14177,607.1498126111279
Female,Black,US-Born,2020,Total,55-64,2399670.4108560523,31176,1299.17841462563
Female,Black,US-Born,2020,Total,65-74,1679636.5442140137,42087,2505.7206658774276
Female,Black,US-Born,2020,Total,75-84,787656.3141877091,42440,5388.136835260102
Female,Black,US-Born,2020,Total,85+,330709.7424259031,48098,14543.87150713486
Female,Asian,Foreign-Born,2017-2019,Total,25-34,3673695.511615172,809,22.021422228439288
Female,Asian,Foreign-Born,2017-2019,Total,35-44,4218131.817302215,1859,44.0716430997872
Female,Asian,Foreign-Born,2017-2019,Total,45-54,3902134.694514905,4543,116.42345422842367
Female,Asian,Foreign-Born,2017-2019,Total,55-64,3212177.1053353446,8804,274.0820232289427
Female,Asian,Foreign-Born,2017-2019,Total,65-74,2235061.0124534476,14938,668.3486453733277
Female,Asian,Foreign-Born,2017-2019,Total,75-84,1060568.2264673878,22855,2154.976872739906
Female,Asian,Foreign-Born,2017-2019,Total,85+,426530.8919963397,33464,7845.621648498833
Female,Asian,Foreign-Born,2020,Total,25-34,1206910.6903009263,288,23.862577597037543
Female,Asian,Foreign-Born,2020,Total,35-44,1438780.2483485693,701,48.721825365938074
Female,Asian,Foreign-Born,2020,Total,45-54,1343897.930351675,1858,138.25454731623802
Female,Asian,Foreign-Born,2020,Total,55-64,1104327.6330799027,3651,330.60840738156503
Female,Asian,Foreign-Born,2020,Total,65-74,823760.9843415931,6836,829.8523637246313
Female,Asian,Foreign-Born,2020,Total,75-84,394148.64037268923,9917,2516.0558693347084
Female,Asian,Foreign-Born,2020,Total,85+,163363.28887399466,15491,9482.546603201967
Female,Asian,US-Born,2017-2019,Total,25-34,1707694.488384828,692,40.52247077605243
Female,Asian,US-Born,2017-2019,Total,35-44,924069.1826977851,756,81.8120563000366
